##FastQC	0.11.5
>>Basic Statistics	pass
#Measure	Value
Filename	ANCIENT.SIM.CONT.COV-7.5.RUN-3.fq
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	3890
Sequences flagged as poor quality	0
Sequence length	30-49
%GC	37
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
31	19	-0.5755208333333357
31	20	1.4010416666666643
31	21	1.1549479166666643
31	22	1.21875
31	23	1.1106770833333357
31	24	1.3059895833333357
31	25	1.3216145833333357
31	26	1.2369791666666643
31	27	-7.78515625
31	28	1.03515625
31	29	1.1419270833333357
31	30	1.3059895833333357
31	31	7.91796875
31	32	11.638020833333332
31	33	18.080729166666668
31	34	-16.4921875
31	35	-13.510416666666666
31	36	-11.184895833333334
31	37	-9.486979166666666
31	38	-8.020833333333334
31	39	-5.6796875
31	40	-4.736979166666667
31	41	-3.53125
31	42	-2.9791666666666665
31	43	-2.6953125
31	44	-2.2473958333333335
